journal,title,doi,year,repo_urls
Nature,Descending networks transform command signals into population motor control,10.1038/s41586-024-07523-9,2024,https://github.com/NeLy-EPFL/dn_networks; https://github.com/NeLy-EPFL/twoppp
Nature,Marine heatwaves are not a dominant driver of change in demersal fishes,10.1038/s41586-023-06449-y,2023,https://github.com/afredston/marine_heatwaves_trawl
Nature,Hippocampal representation during collective spatial behaviour in bats,10.1038/s41586-023-06478-7,2023,https://github.com/gardner-lab/FinchScope; https://github.com/gardner-lab/video-capture
Nature,An ON-type direction-selective ganglion cell in primate retina,10.1038/s41586-023-06659-4,2023,https://github.com/Llamero/Four_Channel_MHz_LED_Driver; https://github.com/Llamero/Puthussery_Lab_2P_Setup; https://github.com/sje30/sjedrp
Nature,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,10.1038/s41586-025-08985-1,2025,https://github.com/Yujie-S/Click-ExM_data_process_and_example; https://github.com/danzllab/LICONN; https://github.com/funkelab/gunpowder; https://github.com/google-research/sofima; https://github.com/google/ffn; https://github.com/google/neuroglancer; https://github.com/seung-lab/kimimaro
Nature,Genomic–transcriptomic evolution in lung cancer and metastasis,10.1038/s41586-023-05706-4,2023,https://github.com/nicolaroberts/hdp; https://github.com/nugentechnologies/nudup
Nature,Neural networks of the mouse visceromotor cortex,10.1038/s41586-025-09360-w,2025,https://github.com/GradinaruLab/striatum2P; https://github.com/denisecailab/minian; https://github.com/etterguillaume/MiniscopeAnalysis; https://github.com/flatironinstitute/NoRMCorre; https://github.com/ucla-brain/mpf
Nature,Pre-assembly of biomolecular condensate seeds drives RSV replication,10.1038/s41586-025-10071-5,2026,https://github.com/TanenbaumLab/SingleObjectGrid; https://github.com/UU-cellbiology/ComDet
Nature,Sensory expectations shape neural population dynamics in motor circuits,10.1038/s41586-025-09690-9,2025,https://github.com/JonathanAMichaels/PixelProcessingPipeline
Nature,An atlas of genetic scores to predict multi-omic traits,10.1038/s41586-023-05844-9,2023,https://github.com/xuyu-cam/atlas_genetic_scores_omic_traits
